129.416667	164.333333	1524.083333
499.333333	461.416667	1890.250000
1337.250000	1246.333333	3260.166667
2144.166667	1752.916667	4207.750000
2994.583333	2505.333333	5127.000000
3028.500000	2732.916667	4534.333333
3215.750000	3079.916667	4549.833333
3330.750000	3398.833333	4529.666667
3467.750000	3538.750000	4554.083333
4029.833333	4144.000000	4953.666667
3669.500000	3729.083333	3911.333333
3679.333333	3694.416667	3546.000000
3657.333333	3625.083333	3298.666667
3981.000000	3939.500000	3254.750000
3343.583333	3305.500000	2415.916667
3140.500000	3244.083333	1957.750000
2739.166667	3115.333333	1628.583333
2370.916667	2732.833333	1370.916667
2318.083333	2669.333333	1297.000000
1816.250000	2047.583333	910.250000
1734.833333	1778.000000	692.000000
1652.583333	1646.333333	534.250000
1730.833333	1715.583333	457.416667
1299.416667	1359.000000	308.916667
1053.333333	1115.500000	227.833333
867.333333	833.000000	172.583333
688.666667	637.916667	127.416667
609.666667	559.750000	114.750000
407.083333	362.833333	84.000000
309.000000	249.750000	62.000000
176.583333	114.583333	24.083333
113.666667	36.250000	8.750000
